,GAS,EE
2008-02-01,1.0,1.0
2008-02-04,1.014820592823713,1.02009405728944
2008-02-05,0.983879355174207,0.993159469858914
2008-02-06,0.9784191367654707,0.983753740914921
2008-02-07,0.9557982319292772,0.9807610089781958
2008-02-08,0.9599583983359334,0.9726378794356563
2008-02-11,0.9589183567342694,0.9572466866182129
2008-02-12,0.9646385855434217,0.9679350149636596
2008-02-13,0.9474778991159646,0.9717828131680205
2008-02-14,0.9472178887155486,0.9495510902094912
2008-02-15,0.9459178367134686,0.9410004275331338
2008-02-19,0.9430577223088924,0.9422830269345873
2008-02-20,0.9490379615184608,0.9380076955964087
2008-02-21,0.9300572022880916,0.9162035057716973
2008-02-22,0.9269370774830993,0.9153484395040615
2008-02-25,0.9469578783151327,0.9179136383069687
2008-02-26,0.9474778991159646,0.940145361265498
2008-02-27,0.9401976079043161,0.9303120991876871
2008-02-28,0.9308372334893394,0.9157759726378795
2008-02-29,0.9017160686427457,0.8747327917913639
2008-03-03,0.9108164326573063,0.8683197947840957
2008-03-04,0.924076963078523,0.8781530568619067
2008-03-05,0.9186167446697867,0.8666096622488243
2008-03-06,0.8954758190327612,0.8572039333048311
2008-03-07,0.8983359334373374,0.8512184694313809
2008-03-10,0.8933957358294331,0.8396750748182984
2008-03-11,0.9043161726469059,0.8601966652415562
2008-03-12,0.8959958398335933,0.8285592133390337
2008-03-13,0.9030161206448257,0.8593415989739205
2008-03-14,0.8952158086323453,0.8349722103463019
2008-03-17,0.8793551742069683,0.8242838820008551
2008-03-18,0.8941757670306812,0.8422402736212056
2008-03-19,0.8835153406136245,0.837964942283027
2008-03-20,0.8829953198127926,0.8627618640444634
2008-03-24,0.8889755590223608,0.8516460025651988
2008-03-25,0.8972958918356734,0.8405301410859342
2008-03-26,0.8788351534061362,0.8892689183411715
2008-03-27,0.8853354134165365,0.8879863189397178
2008-03-28,0.8801352054082163,0.8978195810175288
2008-03-31,0.8923556942277691,0.9136383069687901
2008-04-01,0.9170566822672908,0.9418554938007696
