,KW,ARR
2008-02-01,1.0,1.0
2008-02-04,1.0,1.0
2008-02-05,1.0044052863436121,1.0021762785636563
2008-02-06,1.0044052863436121,1.0021762785636563
2008-02-07,0.9977973568281939,1.001088139281828
2008-02-08,0.9977973568281939,1.0021762785636563
2008-02-11,0.9977973568281939,1.0021762785636563
2008-02-12,0.998898678414097,1.0021762785636563
2008-02-13,1.0,1.0
2008-02-14,1.001101321585903,1.0032644178454844
2008-02-15,0.9955947136563875,1.001088139281828
2008-02-19,0.9955947136563875,1.0
2008-02-20,1.0066079295154187,1.0021762785636563
2008-02-21,1.0132158590308369,1.0021762785636563
2008-02-22,1.0107048458149779,0.998911860718172
2008-02-25,1.0132158590308369,0.998911860718172
2008-02-26,1.0088105726872247,0.998911860718172
2008-02-27,1.0099118942731278,1.0
2008-02-28,1.003303964757709,1.0
2008-02-29,1.0077092511013217,1.0
2008-03-03,1.0077092511013217,1.0
2008-03-04,1.0044052863436121,0.998911860718172
2008-03-05,1.0044052863436121,0.998911860718172
2008-03-06,1.0044052863436121,0.998911860718172
2008-03-07,1.0044052863436121,0.998911860718172
2008-03-10,0.9966960352422908,0.9978237214363439
2008-03-11,0.998898678414097,0.9923830250272034
2008-03-12,0.998898678414097,0.9902067464635473
2008-03-13,1.0044052863436121,0.9923830250272034
2008-03-14,0.998898678414097,0.9923830250272034
2008-03-17,1.002202643171806,0.9825897714907508
2008-03-18,0.9966960352422908,0.9825897714907508
2008-03-19,0.9966960352422908,0.9825897714907508
2008-03-20,0.998898678414097,0.9891186071817193
2008-03-24,0.998898678414097,0.9869423286180632
2008-03-25,1.0,0.9869423286180632
2008-03-26,1.0,0.9912948857453754
2008-03-27,1.0,0.9847660500544071
2008-03-28,1.0,0.9847660500544071
2008-03-31,1.0,1.001088139281828
2008-04-01,1.0,1.0
2008-04-02,1.002202643171806,1.0
2008-04-03,1.0,1.0
2008-04-04,1.0,1.0
2008-04-07,1.0044052863436121,1.0
2008-04-08,1.0044052863436121,1.0
2008-04-09,1.0,0.998911860718172
2008-04-10,1.002202643171806,0.998911860718172
2008-04-11,1.002202643171806,0.9912948857453754
2008-04-14,1.002202643171806,0.9912948857453754
2008-04-15,1.003303964757709,0.9912948857453754
2008-04-16,1.003303964757709,0.9956474428726878
2008-04-17,1.003303964757709,0.9956474428726878
2008-04-18,1.003303964757709,0.9956474428726878
2008-04-21,1.003303964757709,1.0
2008-04-22,1.002202643171806,0.9912948857453754
2008-04-23,1.002202643171806,0.9912948857453754
2008-04-24,1.002202643171806,0.9934711643090317
2008-04-25,1.002202643171806,0.9945593035908598
2008-04-28,1.002202643171806,0.9912948857453754
2008-04-29,1.002202643171806,0.9934711643090317
2008-04-30,1.002202643171806,0.9934711643090317
2008-05-01,0.998898678414097,0.9912948857453754
2008-05-02,0.9977973568281939,0.9912948857453754
2008-05-05,0.9977973568281939,0.9912948857453754
2008-05-06,0.998898678414097,0.9912948857453754
2008-05-07,0.9977973568281939,0.9912948857453754
2008-05-08,0.9977973568281939,0.9912948857453754
2008-05-09,0.9977973568281939,0.9912948857453754
2008-05-12,0.9966960352422908,0.9912948857453754
2008-05-13,0.998898678414097,0.9912948857453754
2008-05-14,0.998898678414097,0.9912948857453754
2008-05-15,0.998898678414097,0.9912948857453754
2008-05-16,1.002202643171806,0.9912948857453754
2008-05-19,1.002202643171806,0.9912948857453754
2008-05-20,0.9966960352422908,0.9902067464635473
2008-05-21,1.001101321585903,0.9912948857453754
2008-05-22,1.0077092511013217,1.0021762785636563
2008-05-23,1.002202643171806,1.0
2008-05-27,0.9977973568281939,0.9956474428726878
2008-05-28,1.003303964757709,1.0021762785636563
2008-05-29,1.002202643171806,1.0021762785636563
2008-05-30,1.0132158590308369,0.9923830250272034
2008-06-02,1.0132158590308369,1.001088139281828
2008-06-03,1.0132158590308369,1.0043525571273124
2008-06-04,1.0132158590308369,1.0065288356909685
2008-06-05,1.0132158590308369,1.014145810663765
2008-06-06,1.0121145374449338,1.014145810663765
2008-06-09,1.0143171806167401,1.014145810663765
2008-06-10,1.0099118942731278,1.014145810663765
2008-06-11,1.0143171806167401,1.014145810663765
2008-06-12,1.0187224669603525,1.013057671381937
2008-06-13,1.0231277533039647,1.013057671381937
2008-06-16,1.0231277533039647,1.013057671381937
2008-06-17,1.0198237885462555,1.014145810663765
2008-06-18,1.0187224669603525,1.014145810663765
2008-06-19,1.0187224669603525,1.0163220892274212
2008-06-20,1.0220264317180616,1.014145810663765
2008-06-23,1.0231277533039647,1.014145810663765
2008-06-24,1.0231277533039647,1.0163220892274212
2008-06-25,1.0198237885462555,1.0163220892274212
2008-06-26,1.0198237885462555,1.014145810663765
2008-06-27,1.024229074889868,1.014145810663765
2008-06-30,1.025319383259912,1.014145810663765
2008-07-01,1.0209251101321586,1.014145810663765
2008-07-02,1.0209251101321586,1.0174102285092492
2008-07-03,1.026431718061674,1.0163220892274212
2008-07-07,1.026431718061674,1.014145810663765
2008-07-08,1.025330396475771,1.0206746463547336
2008-07-09,1.024229074889868,1.0206746463547336
2008-07-10,1.025330396475771,1.0206746463547336
2008-07-11,1.025330396475771,1.0206746463547336
2008-07-14,1.0209251101321586,1.014145810663765
2008-07-15,1.0209251101321586,1.014145810663765
2008-07-16,1.0209251101321586,1.014145810663765
2008-07-17,1.025330396475771,1.014145810663765
2008-07-18,1.025330396475771,1.0184983677910773
2008-07-21,1.025330396475771,1.0184983677910773
2008-07-22,1.025330396475771,1.0184983677910773
